tree,origin,culture,coral,day,brightness
41,int,int,4,9,NA
41,int,int,5,9,NA
41,int,int,6,9,NA
41,int,int,7,9,NA
41,int,int,8,9,NA
41,int,int,1,11,NA
41,int,int,2,11,NA
41,int,int,3,11,NA
41,int,int,4,11,NA
41,int,int,5,11,NA
41,int,int,6,11,NA
41,int,int,7,11,NA
41,int,int,8,11,NA
41,int,int,1,13,NA
41,int,int,2,13,NA
41,int,int,3,13,NA
41,int,int,4,13,NA
41,int,int,5,13,NA
41,int,int,6,13,NA
41,int,int,7,13,NA
41,int,int,8,13,NA
48,sub,int,1,1,48.31696308
48,sub,int,2,1,57.96913424
48,sub,int,3,1,29.45229277
48,sub,int,4,1,33.23554657
48,sub,int,5,1,34.75409365
48,sub,int,6,1,44.30877837
48,sub,int,7,1,49.65725663
48,sub,int,8,1,55.02291279
48,sub,int,1,3,79.84454823
48,sub,int,2,3,94.30462275
48,sub,int,3,3,84.23380356
48,sub,int,4,3,86.13712591
48,sub,int,5,3,72.74401899
48,sub,int,6,3,84.82728737
48,sub,int,7,3,78.02543953
48,sub,int,8,3,131.3483278
48,sub,int,1,5,64.60526856
48,sub,int,2,5,126.297246
48,sub,int,3,5,62.36224377
48,sub,int,4,5,84.64753459
48,sub,int,5,5,97.04698694
48,sub,int,6,5,88.30467583
48,sub,int,7,5,65.22319108
48,sub,int,8,5,98.23664122
48,sub,int,1,7,95.47845217
48,sub,int,2,7,137.5508413
48,sub,int,3,7,66.18339084
48,sub,int,4,7,103.2625885
48,sub,int,5,7,172.5958233
48,sub,int,6,7,127.3315431
48,sub,int,7,7,32.16340108
48,sub,int,8,7,100.7058333
48,sub,int,1,9,NA
48,sub,int,2,9,NA
48,sub,int,3,9,NA
48,sub,int,4,9,NA
48,sub,int,5,9,NA
48,sub,int,6,9,NA
48,sub,int,7,9,NA
48,sub,int,8,9,NA
48,sub,int,1,11,NA
48,sub,int,2,11,NA
48,sub,int,3,11,NA
48,sub,int,4,11,NA
48,sub,int,5,11,NA
48,sub,int,6,11,NA
48,sub,int,7,11,NA
48,sub,int,8,11,NA
48,sub,int,1,13,NA
48,sub,int,2,13,NA
48,sub,int,3,13,NA
48,sub,int,4,13,NA
48,sub,int,5,13,NA
48,sub,int,6,13,NA
48,sub,int,7,13,NA
48,sub,int,8,13,NA
13,sub,sub,1,1,123.8538426
13,sub,sub,2,1,122.8350187
13,sub,sub,3,1,157.1984277
13,sub,sub,4,1,125.2926306
13,sub,sub,5,1,104.8957876
13,sub,sub,6,1,144.0182601
13,sub,sub,7,1,75.1920671
13,sub,sub,8,1,140.0260448
13,sub,sub,1,3,NA
13,sub,sub,2,3,NA
13,sub,sub,3,3,NA
13,sub,sub,4,3,NA
13,sub,sub,5,3,NA
13,sub,sub,6,3,NA
13,sub,sub,7,3,NA
13,sub,sub,8,3,NA
13,sub,sub,1,5,83.83873296
13,sub,sub,2,5,92.00731678
13,sub,sub,3,5,125.9998507
13,sub,sub,4,5,120.3320322
13,sub,sub,5,5,91.03422741
13,sub,sub,6,5,72.00825976
13,sub,sub,7,5,44.30051549
13,sub,sub,8,5,101.3682478
13,sub,sub,1,7,94.65459893
13,sub,sub,2,7,98.09056697
13,sub,sub,3,7,112.8582203
13,sub,sub,4,7,97.72088886
13,sub,sub,5,7,87.62893721
13,sub,sub,6,7,119.5766951
13,sub,sub,7,7,41.18906061
13,sub,sub,8,7,81.36922783
13,sub,sub,1,9,NA
13,sub,sub,2,9,NA
13,sub,sub,3,9,NA
13,sub,sub,4,9,NA
13,sub,sub,5,9,NA
13,sub,sub,6,9,NA
13,sub,sub,7,9,NA
13,sub,sub,8,9,NA
13,sub,sub,1,11,NA
13,sub,sub,2,11,NA
13,sub,sub,3,11,NA
13,sub,sub,4,11,NA
13,sub,sub,5,11,NA
13,sub,sub,6,11,NA
13,sub,sub,7,11,NA
13,sub,sub,8,11,NA
13,sub,sub,1,13,NA
13,sub,sub,2,13,NA
13,sub,sub,3,13,NA
13,sub,sub,4,13,NA
13,sub,sub,5,13,NA
13,sub,sub,6,13,NA
13,sub,sub,7,13,NA
13,sub,sub,8,13,NA
14,int,sub,1,1,124.3658035
14,int,sub,2,1,139.8762424
14,int,sub,3,1,129.5411033
14,int,sub,4,1,83.78075171
14,int,sub,5,1,58.59681269
14,int,sub,6,1,109.1528891
14,int,sub,7,1,55.43950011
14,int,sub,8,1,101.4934178
14,int,sub,1,3,NA
14,int,sub,2,3,NA
14,int,sub,3,3,NA
14,int,sub,4,3,NA
14,int,sub,5,3,NA
14,int,sub,6,3,NA
14,int,sub,7,3,NA
14,int,sub,8,3,NA
14,int,sub,1,5,64.11841478
14,int,sub,2,5,77.10252433
14,int,sub,3,5,75.93130285
14,int,sub,4,5,70.02330367
14,int,sub,5,5,47.3128821
14,int,sub,6,5,75.10449152
14,int,sub,7,5,45.02743609
14,int,sub,8,5,64.51851417
14,int,sub,1,7,74.55490849
14,int,sub,2,7,74.55476909
14,int,sub,3,7,53.64409533
14,int,sub,4,7,78.00594816
14,int,sub,5,7,49.2132518
14,int,sub,6,7,64.1167088
14,int,sub,7,7,49.41173246
14,int,sub,8,7,69.27489356
14,int,sub,1,9,NA
14,int,sub,2,9,NA
14,int,sub,3,9,NA
14,int,sub,4,9,NA
14,int,sub,5,9,NA
14,int,sub,6,9,NA
14,int,sub,7,9,NA
14,int,sub,8,9,NA
14,int,sub,1,11,NA
14,int,sub,2,11,NA
14,int,sub,3,11,NA
14,int,sub,4,11,NA
14,int,sub,5,11,NA
14,int,sub,6,11,NA
14,int,sub,7,11,NA
14,int,sub,8,11,NA
14,int,sub,1,13,NA
14,int,sub,2,13,NA
14,int,sub,3,13,NA
14,int,sub,4,13,NA
14,int,sub,5,13,NA
14,int,sub,6,13,NA
14,int,sub,7,13,NA
14,int,sub,8,13,NA
15,sub,sub,1,1,128.0457899
15,sub,sub,2,1,117.0318551
15,sub,sub,3,1,112.1623051
15,sub,sub,4,1,106.5197375
15,sub,sub,5,1,130.2989983
15,sub,sub,6,1,114.3747738
15,sub,sub,7,1,66.69921783
15,sub,sub,8,1,222.4908474
15,sub,sub,1,3,NA
15,sub,sub,2,3,NA
15,sub,sub,3,3,NA
15,sub,sub,4,3,NA
15,sub,sub,5,3,NA
15,sub,sub,6,3,NA
15,sub,sub,7,3,NA
15,sub,sub,8,3,NA
15,sub,sub,1,5,97.92652738
15,sub,sub,2,5,101.9805011
15,sub,sub,3,5,114.9954677
15,sub,sub,4,5,108.7860959
15,sub,sub,5,5,146.059608
15,sub,sub,6,5,130.1884295
15,sub,sub,7,5,34.98556894
15,sub,sub,8,5,119.7535221
15,sub,sub,1,7,109.8258532
15,sub,sub,2,7,118.3856675
15,sub,sub,3,7,90.87390412
15,sub,sub,4,7,125.1762788
15,sub,sub,5,7,102.9897786
15,sub,sub,6,7,39.14052039
15,sub,sub,7,7,113.4825887
15,sub,sub,8,7,42.34044203
15,sub,sub,1,9,NA
15,sub,sub,2,9,NA
15,sub,sub,3,9,NA
15,sub,sub,4,9,NA
15,sub,sub,5,9,NA
15,sub,sub,6,9,NA
15,sub,sub,7,9,NA
15,sub,sub,8,9,NA
15,sub,sub,1,11,NA
15,sub,sub,2,11,NA
15,sub,sub,3,11,NA
15,sub,sub,4,11,NA
15,sub,sub,5,11,NA
15,sub,sub,6,11,NA
15,sub,sub,7,11,NA
15,sub,sub,8,11,NA
15,sub,sub,1,13,NA
15,sub,sub,2,13,NA
15,sub,sub,3,13,NA
15,sub,sub,4,13,NA
15,sub,sub,5,13,NA
